main start at this time 1666119723.799925
ogbn-arxiv
# Nodes: 169343
# Edges: 2315598
# Train: 90941
# Val: 29799
# Test: 48603
# Classes: 40

in feats:  128
Run 00 | Epoch 00150 | Loss 1.3378 | Train 0.6179 | Val 0.6213 | Test 0.6090
Run 00 | Epoch 00151 | Loss 1.3358 | Train 0.6183 | Val 0.6216 | Test 0.6093
Run 00 | Epoch 00152 | Loss 1.3348 | Train 0.6185 | Val 0.6221 | Test 0.6096
Run 00 | Epoch 00153 | Loss 1.3331 | Train 0.6189 | Val 0.6222 | Test 0.6099
Run 00 | Epoch 00154 | Loss 1.3315 | Train 0.6193 | Val 0.6225 | Test 0.6101
Run 00 | Epoch 00155 | Loss 1.3298 | Train 0.6197 | Val 0.6226 | Test 0.6105
Run 00 | Epoch 00156 | Loss 1.3291 | Train 0.6201 | Val 0.6228 | Test 0.6107
Run 00 | Epoch 00157 | Loss 1.3267 | Train 0.6204 | Val 0.6232 | Test 0.6108
Run 00 | Epoch 00158 | Loss 1.3255 | Train 0.6207 | Val 0.6234 | Test 0.6110
Run 00 | Epoch 00159 | Loss 1.3241 | Train 0.6209 | Val 0.6236 | Test 0.6113
Run 00 | Epoch 00160 | Loss 1.3223 | Train 0.6212 | Val 0.6240 | Test 0.6116
Run 00 | Epoch 00161 | Loss 1.3214 | Train 0.6214 | Val 0.6243 | Test 0.6119
Run 00 | Epoch 00162 | Loss 1.3199 | Train 0.6219 | Val 0.6247 | Test 0.6121
Run 00 | Epoch 00163 | Loss 1.3183 | Train 0.6222 | Val 0.6248 | Test 0.6125
Run 00 | Epoch 00164 | Loss 1.3171 | Train 0.6225 | Val 0.6250 | Test 0.6126
Run 00 | Epoch 00165 | Loss 1.3160 | Train 0.6228 | Val 0.6253 | Test 0.6127
Run 00 | Epoch 00166 | Loss 1.3144 | Train 0.6232 | Val 0.6253 | Test 0.6130
Run 00 | Epoch 00167 | Loss 1.3130 | Train 0.6234 | Val 0.6257 | Test 0.6131
Run 00 | Epoch 00168 | Loss 1.3118 | Train 0.6236 | Val 0.6258 | Test 0.6132
Run 00 | Epoch 00169 | Loss 1.3103 | Train 0.6238 | Val 0.6262 | Test 0.6134
Run 00 | Epoch 00170 | Loss 1.3093 | Train 0.6241 | Val 0.6262 | Test 0.6136
Run 00 | Epoch 00171 | Loss 1.3081 | Train 0.6243 | Val 0.6266 | Test 0.6138
Run 00 | Epoch 00172 | Loss 1.3071 | Train 0.6246 | Val 0.6269 | Test 0.6139
Run 00 | Epoch 00173 | Loss 1.3053 | Train 0.6249 | Val 0.6271 | Test 0.6143
Run 00 | Epoch 00174 | Loss 1.3044 | Train 0.6251 | Val 0.6271 | Test 0.6144
Run 00 | Epoch 00175 | Loss 1.3034 | Train 0.6253 | Val 0.6271 | Test 0.6148
Run 00 | Epoch 00176 | Loss 1.3022 | Train 0.6254 | Val 0.6272 | Test 0.6147
Run 00 | Epoch 00177 | Loss 1.3008 | Train 0.6257 | Val 0.6276 | Test 0.6149
Run 00 | Epoch 00178 | Loss 1.2992 | Train 0.6259 | Val 0.6279 | Test 0.6151
Run 00 | Epoch 00179 | Loss 1.2983 | Train 0.6262 | Val 0.6281 | Test 0.6152
